fsu:267083,0,1
fsu:267082,54,0
fsu:267068,0,2
fsu:267048,12,20
fsu:267047,1,12
fsu:267045,25,324
fsu:267017,32,21
fsu:265602,101,112
fsu:265567,27,36
fsu:265566,23,2
fsu:263941,4,7
fsu:263940,6,10
fsu:263939,3,13
fsu:263938,24,13
fsu:263937,38,16
fsu:263936,45,29
fsu:263935,40,80
fsu:263934,12,10
fsu:263933,10,99
fsu:263932,23,26
fsu:263931,64,123
fsu:254551,18,88
fsu:254550,7,4
fsu:254549,40,148
fsu:254548,94,38
fsu:254547,34,264
fsu:254546,25,213
fsu:254545,18,105
fsu:254544,78,366
fsu:254543,23,92
fsu:254542,36,182
fsu:254541,19,102
fsu:254540,31,92
fsu:254539,30,184
fsu:254538,96,168
fsu:254537,89,98
fsu:254536,92,446
fsu:254535,12,121
fsu:254534,5,24
fsu:254533,3,23
fsu:254532,2,10
fsu:254531,21,74
fsu:254530,10,38
fsu:253738,41,105
fsu:253735,58,204
fsu:253731,42,78
fsu:253728,7,75
fsu:253724,73,197
fsu:253716,144,1263
fsu:253713,527,968
fsu:253706,47,23
fsu:253698,425,147
fsu:253689,159,214
fsu:253683,7,65
fsu:253680,11,33
fsu:253676,89,14
fsu:253670,6,7
fsu:253667,53,149
fsu:253664,39,114
fsu:253661,23,630
fsu:253658,105,465
fsu:253655,9,0
fsu:252772,19,9
fsu:252771,5,2
fsu:252770,300,127
fsu:252769,4,2
fsu:252768,11,64
fsu:252767,9,3
fsu:252766,18,37
fsu:252765,16,49
fsu:252764,11,9
fsu:252763,9,32
fsu:252762,20,75
fsu:252761,8,9
fsu:252760,39,34
fsu:252759,3,10
fsu:252758,3,3
fsu:252757,4,13
fsu:252756,5,0
fsu:252755,17,16
fsu:252754,15,52
fsu:252753,2,25
fsu:252752,7,0
fsu:252751,1,20
fsu:252750,68,239
fsu:252749,10,0
fsu:252748,5,14
fsu:252747,8,68
fsu:252746,8,39
fsu:252745,9,15
fsu:252744,7,10
fsu:252743,7,24
fsu:252742,45,58
fsu:252741,71,29
fsu:252740,22,78
fsu:252739,174,90
fsu:252738,25,23
fsu:252737,0,31
fsu:252736,1,15
fsu:252735,15,254
fsu:252734,8,828
fsu:252733,21,383
fsu:252732,2,23
fsu:252731,1,11
fsu:252730,7,295
fsu:252729,1,66
fsu:252728,4,10
fsu:252726,3,61
fsu:252725,6,37
fsu:252724,1,20
fsu:252723,1,31
fsu:252722,1,42
fsu:252721,0,55
fsu:252720,0,20
fsu:252719,0,35
fsu:252718,0,16
fsu:252717,2,36
fsu:252716,1,13
fsu:252715,1,36
fsu:252714,3,31
fsu:252713,2,10
fsu:252712,81,0
fsu:252711,0,67
fsu:252710,3,41
fsu:252709,7,169
fsu:252708,10,43
fsu:252707,13,151
fsu:252706,5,5
fsu:252705,0,3
fsu:252704,9,7
fsu:252703,7,4
fsu:252702,17,200
fsu:252701,8,75
fsu:252700,15,296
fsu:252699,3,24
fsu:252698,9,307
fsu:252697,8,65
fsu:252696,25,289
fsu:252695,7,97
fsu:252694,5,63
fsu:252693,3,96
fsu:252692,4,52
fsu:252691,14,107
fsu:252690,2,30
fsu:252689,13,108
fsu:252688,5,490
fsu:252687,16,70
fsu:252686,3,3
fsu:252685,2,68
fsu:252684,44,53
fsu:252683,26,574
fsu:252682,9,174
fsu:252681,196,475
fsu:252680,8,1
fsu:252679,49,327
fsu:252678,374,246
fsu:252677,24,43
fsu:252676,4,6
fsu:252675,2,21
fsu:252674,9,29
fsu:252673,11,37
fsu:252672,12,40
fsu:252671,2,11
fsu:252670,1,2
fsu:252669,1,92
fsu:252668,14,38
fsu:252667,0,45
fsu:252666,0,9
fsu:252665,1,8
fsu:252664,0,2
fsu:252663,0,16
fsu:252662,0,35
fsu:252661,1,13
fsu:252660,2,132
fsu:252659,0,17
fsu:252658,0,21
fsu:252657,3,79
fsu:252656,7,16
fsu:252655,2,25
fsu:252654,0,13
fsu:252653,2,28
fsu:252652,3,9
fsu:252651,0,13
fsu:252650,1,2
fsu:252649,0,9
fsu:252648,2,8
fsu:252647,1,10
fsu:252646,6,18
fsu:252645,5,17
fsu:252644,4,14
fsu:252643,5,14
fsu:252642,1,7
fsu:252641,2,8
fsu:252640,0,1
fsu:252639,2,9
fsu:252638,1,2
fsu:252637,2,7
fsu:252636,2,60
fsu:252635,3,4
fsu:252634,2,4
fsu:252633,3,10
fsu:252632,2,4
fsu:252631,0,15
fsu:252630,1,7
fsu:252629,0,9
fsu:252628,21,20
fsu:252627,3,17
fsu:252626,2,12
fsu:252625,0,31
fsu:252624,4,3
fsu:252623,1,11
fsu:252622,0,0
fsu:252621,2,3
fsu:252620,0,9
fsu:252619,0,17
fsu:252618,0,14
fsu:252617,0,2
fsu:252616,0,8
fsu:252615,2,16
fsu:252614,0,34
fsu:252613,4,28
fsu:252612,0,8
fsu:252611,2,7
fsu:252610,0,23
fsu:252609,1,11
fsu:252608,6,36
fsu:252607,5,6
fsu:252606,2,0
fsu:252605,0,8
fsu:252604,0,0
fsu:252603,1,15
fsu:252602,4,9
fsu:252601,0,2
fsu:252600,0,6
fsu:252599,0,55
fsu:252598,1,4
fsu:252597,0,26
fsu:252596,1,7
fsu:252595,2,1
fsu:252594,0,3
fsu:252593,15,686
fsu:252592,1,10
fsu:252591,3,13
fsu:252590,2,30
fsu:252589,3,5
fsu:252588,1,8
fsu:252587,1,18
fsu:252586,6,22
fsu:252585,9,32
fsu:252584,1,4
fsu:252583,1,0
fsu:252582,1,10
fsu:252581,4,6
fsu:252580,4,15
fsu:252579,2,20
fsu:252578,6,27
fsu:252577,4,2
fsu:252576,7,21
fsu:252575,6,4
fsu:252574,1,3
fsu:252573,3,10
fsu:252572,4,12
fsu:252571,3,10
fsu:252570,8,11
fsu:252569,7,12
fsu:252568,1,15
fsu:252567,0,41
fsu:252566,4,2
fsu:252565,2,6
fsu:252564,5,20
fsu:252563,6,2
fsu:252562,5,52
fsu:252561,6,57
fsu:252560,4,18
fsu:252559,9,36
fsu:252558,1,2
fsu:252557,2,16
fsu:252556,1,1
fsu:252555,2,4
fsu:252554,3,4
fsu:252553,4,38
fsu:252552,1,7
fsu:252551,2,27
fsu:252550,2,12
fsu:252549,1,12
fsu:252548,2,10
fsu:252547,3,6
fsu:252546,2,8
fsu:252545,2,58
fsu:252544,2,9
fsu:252543,2,2
fsu:252542,2,6
fsu:252541,5,10
fsu:252540,2,5
fsu:252539,2,6
fsu:252538,2,8
fsu:252537,6,13
fsu:252536,5,16
